,Ruling,Name,Quote,Description,Date
499,mostly-true,Iowa House Democrats,"""According to Republican Rep. Jeff Shipley, teachers should not receive a pay raise if they teach American history that Republicans don’t agree with.""",a tweet,"February 10, 2022 "
500,mostly-true,Joe Biden,“Millions of hardworking Americans will no longer have to worry about unexpected medical bills.”,a speech,"February 10, 2022 "
501,mostly-true,Wisconsin Senate Republicans,"Gov. Tony Evers has “only gotten one-third of the money meant for COVID relief out the door. He is sitting on $930 million in ARPA funds left unspent. In fact, he still has CARES Act money from two years ago.”",Twitter,"February 2, 2022 "
502,mostly-true,Melanie D'Arrigo,"“Teachers can only deduct up to $250 for school supplies on their taxes, but billionaires can write off the entire cost of a private jet.”",a Tweet,"February 6, 2022 "
503,mostly-true,Patrick Gaspard,"""Inflation has been caused by the global economies shutting down all at once, reopening all at once. And … the U.S. economy is recovering at a far faster pace than any other country in the OECD.""","remarks on ABC's ""This Week""","February 13, 2022 "
504,mostly-true,Glenn Youngkin,Virginia’s economic growth “has stalled at less than 1% per year for eight years.”,a speech.,"January 17, 2022 "
505,mostly-true,JB Pritzker,“A larger percentage of Illinoisans have been vaccinated than in any other Midwestern state.”,the 2022 State of the State address.,"February 2, 2022 "
506,mostly-true,Christine Drazan,“Governor Kate Brown wants to make Oregon’s mask mandate PERMANENT.”,a Facebook post,"January 5, 2022 "
507,mostly-true,Glenn Youngkin,“Sixty percent of (Virginia's) children don’t meet national proficiency standards…”,a speech.,"January 17, 2022 "
508,mostly-true,Chuck Todd,“Clarence Thomas is about to become the only member of the current Supreme Court who was nominated by a president of one party and confirmed by a Senate controlled by the other party.”,"remarks on NBC's ""Meet the Press""","January 30, 2022 "
509,mostly-true,Beto O'Rourke,"""Right now, in the average Texas fourth grade classroom, 7 out of 10 kids cannot read at grade level.""",a rally,"November 19, 2021 "
510,mostly-true,Liz Mathis,“Ashley Hinson voted against the bipartisan infrastructure bill that made this money (for Iowa's locks and dams) possible. Once again she’s taking credit for work she didn’t do.”,a tweet,"January 21, 2022 "
511,mostly-true,Facebook posts,"Omicron is “the fastest-spreading virus known to humankind.""",a video on Facebook,"January 5, 2022 "
512,mostly-true,Ralph Northam,"“We’ve brought in more than $81 billion in economic investment, more than four times any previous administration.”",a speech.,"January 12, 2022 "
513,mostly-true,Beto O'Rourke,"""Expanding Medicaid, which if we had done at the beginning of the Abbott administration, would have brought in $100 billion to this state's economy.""",a rally,"November 19, 2021 "
514,mostly-true,Lee Zeldin,"“Voter ID is supported by an overwhelming majority of NYers, from all across the state, walks of life, & political parties.”",a Tweet,"December 8, 2021 "
515,mostly-true,John McGuire,“Overdoses in Virginia (are) up 35%.”,a radio interview.,"December 3, 2021 "
516,mostly-true,Robert Reich,"“Norway spends about $30,000 per child on early childhood care, Finland spends $23,000, Germany $18,000” and the U.S. $500.",a tweet,"November 24, 2021 "
517,mostly-true,Amy Klobuchar,"""Over time there have been 160-some carve-outs to the filibuster.""","an interview on NBC's ""Meet the Press""","December 5, 2021 "
518,mostly-true,Joe Biden,"“Even after accounting for rising prices, the typical American family has more money in their pockets than they did last year.”",remarks from the White House,"December 3, 2021 "
519,mostly-true,Tammy Baldwin,"“Within two years, there were two 500-year (storm) events” in Wisconsin.",Panel discussion,"November 6, 2021 "
520,mostly-true,Colin Allred,"""You've had over 2 million women drop out of the workforce during this pandemic.""",,"October 25, 2021 "
521,mostly-true,Meagan Wolfe,"""Only a court can decide that somebody is incompetent to vote"" -- the state Election Commission ""cannot force facilities, private facilities, to allow special voting deputies"" inside.",TV interview,"November 5, 2021 "
522,mostly-true,Gwen Moore,"“If you’re a low-wage worker and you’re single and don’t have children, we’re literally taxing you into poverty.""",TV interview,"October 30, 2021 "
523,mostly-true,Viral image,"""The 550 U.S. billionaires together are worth $2.5 trillion. If we confiscated 100% of their wealth, we'd raise enough to run the federal government for less than eight months.""",a Facebook post,"October 23, 2019 "
524,mostly-true,Thom Tillis,"""Gas in North Carolina increased 14 cents per gallon this past week, the highest in the nation.""",a tweet,"October 26, 2021 "
525,mostly-true,Ben Wikler,"Says Rebecca Kleefisch played a key role in the Foxconn deal, “the largest attempted government handout to a foreign company in American history.""",Twitter,"September 23, 2021 "
526,mostly-true,Chuck Grassley,"""Welcome 2 Pres Biden’s America where inflation is costing households an extra $175 a month.”",a tweet,"October 19, 2021 "
527,mostly-true,Joe Biden,“Raising the debt limit is paying our old debts. It has nothing to do with new spending.”,remarks at the White House,"October 6, 2021 "
528,mostly-true,Patrick Testin,"""The vast majority of the (refugees) coming into Fort McCoy are not the SIVs"" and some have ""no documentation at all.""",TV interview,"August 29, 2021 "
529,mostly-true,Joe Biden,"""Thirty years ago, the United States ranked sixth among advanced economies in the share of women in the workforce. You know where we are today? Twenty-three.”",a speech ,"October 5, 2021 "
530,mostly-true,Anthony Fauci,“There are precious few religions that actually say you cannot” get vaccinated.,an interview on CNN,"October 3, 2021 "
531,mostly-true,Shelley Moore Capito,"“In West Virginia, a gallon of gas is nearly one dollar more than it was a year ago, and we’re paying about 30 cents more for a gallon of milk than we did at this time last year.”",an op-ed,"August 12, 2021 "
532,mostly-true,Cori Bush,"“Approximately 60,000 Canadians currently live undocumented in the USA.”",a tweet,"September 23, 2021 "
533,mostly-true,Alberta Darling,“Wisconsin Governor (Tony) Evers wanted to raise your taxes by $1 billion in a pandemic. Republicans stopped him and delivered the largest tax CUT in state history.”,Twitter,"August 25, 2021 "
534,mostly-true,Ron DeSantis,People who “have recovered (from COVID-19) have very strong immunity.”,remarks at an event ,"September 13, 2021 "
535,mostly-true,Facebook posts,“Ivermectin has been FDA approved for human use since 1996.”,a Facebook post,"September 4, 2021 "
536,mostly-true,Eric Toney,"""I'm the only front-line prosecutor in this race that's actually used the resources of the Wisconsin Crime Lab in the prosecution of cases.""",TV interview,"August 22, 2021 "
537,mostly-true,Byron Brown,"Before 2020, “crime had been falling, every year, year after year, in the city of Buffalo.”",an interview,"August 23, 2021 "
538,mostly-true,Joe Biden,"Women are ""disproportionately impacted by voter ID laws — especially married women who change their names, or those whose IDs do not accurately reflect their gender.""",a proclamation,"August 26, 2021 "
539,mostly-true,Ralph Northam,The Virginia Employment Commission is sixth in the nation for getting benefits to eligible people quickly…”,a speech.,"August 18, 2021 "
540,mostly-true,Pramila Jayapal,"“The average hospital stay for a case of COVID-19 costs about $17,064. The vaccine is free.”",an Instagram post,"August 30, 2021 "
541,mostly-true,Roy Cooper,"“North Carolina during this pandemic had among the lowest COVID-related deaths, as well as job losses per capita.”",a press conference,"August 4, 2021 "
542,mostly-true,Facebook posts,"""100 Sailors at sea. All vaxxed. All with COVID (seven) weeks following deployment.""",a Facebook post,"August 12, 2021 "
543,mostly-true,Instagram posts,"The man next to Mike Pompeo in a November 2020 photo “is the guy the Trump administration helped get out of jail in 2018 and who is now the 'president' of Afghanistan.""",on social media,"August 17, 2021 "
544,mostly-true,Glenn Youngkin,"“We watched Terry McAuliffe, when he was governor, lower the (accreditation) standards in our schools...”",a radio interview.,"August 6, 2021 "
545,mostly-true,Elise Stefanik,"Every time outgoing New York Gov. Andrew Cuomo “says the firearm industry ‘is immune from lawsuits,’ it's false.”",a tweet,"July 6, 2021 "
546,mostly-true,J.D. Scholten,"“By 2040, 70% of the population is expected to live in just 15 states.”",a tweet,"July 21, 2021 "
547,mostly-true,Joe Biden,"When Terry McAuliffe was governor, “Unemployment went down in every single county, including rural Virginia by nearly 50%.",a speech.,"July 23, 2021 "
548,mostly-true,Viral image,“George Washington mandated smallpox vaccines for the Continental Army.”,a tweet,"July 29, 2021 "
549,mostly-true,Joe Biden,"“Ten thousand people have recently died. 9,950 of them, thereabouts, are people who hadn’t been vaccinated.""",a CNN town hall,"July 21, 2021 "
550,mostly-true,Joe Biden,"""In 2020, more people voted in America than ever in the history of America, in the middle of a once-in-a-century pandemic.""",a speech ,"July 13, 2021 "
551,mostly-true,Glenn Youngkin,"“Over the last few years, more Virginians are moving away from Virginia than are moving to Virginia from the other 49 states.”",a radio interview.,"May 21, 2021 "
552,mostly-true,Kedron Bardwell,"""These 2 Ankeny moms standing next to the Governor are known Qanon and anti-vaxx conspiracy theorists.""",a tweet,"May 20, 2021 "
553,mostly-true,Kamala Harris,"""Sadly during the course of the pandemic one-third of our small businesses have closed.""",an interview on MSNBC,"June 1, 2021 "
554,mostly-true,Clarence McNeill,The use and possession of marijuana on U.S. college campuses “remains prohibited under federal law”,an email to students,"April 7, 2021 "
555,mostly-true,Don Huffines,"""Texans have some of the highest property taxes in the nation”",campaign material,"May 10, 2021 "
556,mostly-true,Facebook posts,The New York Times published an old stock photo of a young girl and claimed Israeli forces killed her during its recent war with Hamas.,a Facebook post,"May 29, 2021 "
557,mostly-true,Kamala Harris,The Biden administration’s American Jobs Plan will be “the biggest non-defense investment in research and development in the history of our country.”,Statement,"May 5, 2021 "
558,mostly-true,Wisconsin Assembly GOP,“Republicans on the Joint Finance Committee removed more than $8 billion in spending increases from Gov. Evers' budget proposal.”,Twitter,"May 7, 2021 "
559,mostly-true,Tony Evers,“Regulating and taxing marijuana—much like we do alcohol—would generate more than $165M in revenue starting in 2022”,Twitter,"April 14, 2021 "
560,mostly-true,Joe Biden,"After the American Rescue Plan’s food and nutrition assistance, “hunger is already sharply down in the United States.”",remarks,"May 5, 2021 "
561,mostly-true,Tim Scott,Says Democrats blocked his efforts at police reform.,a GOP response to President Joe Biden's speech,"April 28, 2021 "
562,mostly-true,Jill Underly,"For mitigating COVID-19 spread, “masks (are) the number one way to do so.""",TV interview,"April 11, 2021 "
563,mostly-true,Terry McAuliffe,"“I restored felons’ rights - 173,000 - more than any governor in the history of America.”",a debate.,"April 6, 2021 "
564,mostly-true,Shelley Moore Capito,"President Joe Biden’s American Relief Plan “has a lot of money in it for schools, but if you really look at it … it says that the school money is going to go out until the year 2028.”",a press conference,"March 4, 2021 "
565,mostly-true,Joe Biden,"“A new, independent study put out last week found that at least 55 of our largest corporations used various loopholes to pay zero federal income tax in 2020.”",remarks at the White House,"April 7, 2021 "
566,mostly-true,Nicholas Langworthy,Residents of New York state “pay the highest taxes in the nation.”,a mass email,"March 17, 2021 "
567,mostly-true,Pete Buttigieg,"President Joe Biden’s infrastructure proposal “is fully paid for. Across 15 years, it would raise all of the revenue needed for these once-in-a-lifetime investments.""","an interview on NBC's ""Meet the Press""","April 4, 2021 "
568,mostly-true,Rick Gundrum,"Says Gov. Tony Evers’ 2021-22 state budget ""increases taxes $1 billion +""",Twitter,"March 29, 2021 "
569,mostly-true,Roy Cooper,“People don’t pretend to be someone else to go in and vote. You just don’t see that kind of fraud.”,an interview with CNN's Jake Tapper,"March 26, 2021 "
570,mostly-true,Viral image,Says Sen. Cory Booker wants to require a federal license for gun owners but criticizes voter ID laws as discriminatory.,a Facebook post,"August 2, 2019 "
571,mostly-true,Alex Padilla,"“In a majority of states, new voters are able to obtain a rifle quicker than they’re able to cast their first ballot.”",remarks ,"March 22, 2021 "
572,mostly-true,Julian Bradley,"The latest stimulus package ""sends stimulus checks to imprisoned murderers, rapists, and child molesters.”",news article,"March 15, 2021 "
573,mostly-true,Kirsten Gillibrand,“We had the highest number of (military) sexual assaults ever reported in the last year” and “we had the lowest conviction rate and the lowest prosecution rate.”,an interview with WNYC,"February 23, 2021 "
574,mostly-true,Tom Nelson,"“Right now, two-thirds of the U.S. Senate is composed of millionaires.”",TV interview,"March 7, 2021 "
575,mostly-true,Viral image,These 11 mass shootings involved an AR-15-style weapon.,a tweet,"March 22, 2021 "
576,mostly-true,Nicole Malliotakis,"""If you are a hard-working law-abiding citizen who earns $80,000, you don’t get a stimulus check. But if you are a convicted murderer or rapist sitting in jail, you do.""",a Tweet,"March 8, 2021 "
577,mostly-true,Ron DeSantis,"""When I became governor, we banned sanctuary cities and we also did E-Verify.""",,"March 13, 2021 "
578,mostly-true,Veronica Escobar,"""We saw the increases (of unaccompanied minors at the southern U.S. border) dating back almost a year.""",a CNN interview,"March 14, 2021 "
579,mostly-true,Kayleigh McEnany,"Current immigration ""apprehension numbers are worse than the 'crisis' Biden/Obama/Pelosi acknowledged in 2014!""",a Facebook post and tweet,"March 8, 2021 "
580,mostly-true,Tom Cotton,“Senate Democrats just voted to give stimulus checks to criminals in prison.”,a tweet,"March 6, 2021 "
581,mostly-true,Facebook posts,"In Aberdeen, Miss., “Massive 78% of mail-in ballots proved fraudulent, judge orders election do-over.”",a Facebook post,"March 3, 2021 "
582,mostly-true,Facebook posts,Says Al Gore said in 2009 that “the North Pole will be ice-free in the summer by 2013 because of man-made global warming.”,a Facebook post,"February 22, 2021 "
583,mostly-true,Stand for America,The COVID-19 rescue bill includes money for a list of projects that are not COVID-related.,a Facebook post,"February 24, 2021 "
584,mostly-true,Mitch McConnell,"In the American Rescue Plan, “just about 1% of the money is for vaccines.”",a Senate floor speech,"February 24, 2021 "
585,mostly-true,Ron Johnson,"The shutdown of the Keystone Pipeline project will mean “nearly 2,000 (union jobs lost) with Wisconsin companies”",Facebook post,"January 21, 2021 "
586,mostly-true,Viral image,“COVID-19 infections down 61% from Trump’s last day. COVID-19 vaccinations up 85% from Trump’s last day. Competence Matters.”,on social media,"February 19, 2021 "
587,mostly-true,Alma Adams,“Almost 40% of borrowers with student loan debt didn't finish their degree.”,a tweet,"February 9, 2021 "
588,mostly-true,Andrew Cuomo,“No state gets back less from Washington than New York state.”,a tweet,"January 14, 2021 "
589,mostly-true,Andrew Cuomo,“But we’re below the national average in number of deaths in nursing homes.”,a news conference,"January 29, 2021 "
590,mostly-true,Richard Durbin,"“More than 200,000 DACA recipients are essential infrastructure workers” including “41,700 DACA recipients in the healthcare industry”",a Senate speech,"February 4, 2021 "
591,mostly-true,Stefan Mychajliw,"""The (Erie Co., N.Y.) health commissioner makes more than the governor, the vice president of the United States, and has a salary that is comparable to Dr. Anthony Fauci.”",a press release,"January 29, 2021 "
592,mostly-true,Christina Blackcloud,"The school voucher bill the Iowa Legislature is considering would ""give your education tax dollars to corporations.""",a tweet,"January 23, 2021 "
593,mostly-true,Joe Biden,“84% of all new electric capacity planned to come onto the electric grid this year is clean energy.”,remarks when signing climate change executive orders,"January 27, 2021 "
594,mostly-true,Garlin Gilchrist,"In Michigan, “we were able to really flatten” the racial disparity in COVID-19’s impact “and make significant progress.”",a speech at MLK Day Jr. Youth Conference,"January 17, 2021 "
595,mostly-true,Rebecca Kleefisch,“Wisconsin is second to last in the Midwest in our vaccination rate and the governor says he’s ‘satisfied.’”,a tweet,"January 14, 2021 "
596,mostly-true,Jon Rosenthal,Says that “the way to reach ‘herd immunity’ is for >70% of the population to get vaccinated.”,a tweet,"January 5, 2021 "
597,mostly-true,Christi Craddick,Says that the oil and gas industry comprises 35% of the Texas economy.,a tweet,"December 12, 2020 "
598,mostly-true,Mike Parson,“Schools that are consistently implementing COVID-19 mitigation strategies remain among the safest places for our students.”,a press conference,"November 12, 2020 "
599,mostly-true,Jon Ossoff,"Says David Perdue “hasn't held a single public town hall meeting in six years” and “sells four meetings a year and a retreat on a private island for a $7,500 corporate PAC check.”",a debate,"December 6, 2020 "
600,half-true,Viral image,A Pennsylvania TV station aired the 2024 presidential election results early.,a Facebook post,"October 28, 2024 "
601,half-true,Kamala Harris,El expresidente Donald Trump quiere eliminar la Ley del Cuidado de Salud a Bajo Precio.,un anuncio de campaña,"September 27, 2024 "
602,half-true,Kamala Harris,Former President Donald Trump wants to take away the Affordable Care Act.,a campaign ad,"September 27, 2024 "
603,half-true,Joyce Craig,"Gubernatorial candidate Kelly Ayotte “has voted for national abortion bans, she has voted to defund Planned Parenthood, and she shepherded Neil Gorsuch through the Supreme Court process, and then celebrated when Roe v. Wade was overturned.”",an interview with WMUR-TV,"September 15, 2024 "
604,half-true,Robert Reich,“Two weeks ago 100 GOP lawmakers voted against additional FEMA funding.”,an Instagram post,"October 8, 2024 "
605,half-true,Kamala Harris,"""We now have historic low unemployment in America among all groups of people.""","an interview on CBS's ""60 Minutes""","October 7, 2024 "
606,half-true,New Hampshire Democratic Party,"When New Hampshire gubernatorial nominee Kelly Ayotte served on two companies’ boards, one “laid off 18,000 workers” and the other “laid off 1,200 American workers, moving jobs overseas.”",an ad,"September 27, 2024 "
607,half-true,Kelly Ayotte,"In Manchester, N.H., gubernatorial candidate Joyce Craig “pushed for a city sales tax. Then, Joyce Craig overrode the tax cap and tried to raise taxes six times.”",an ad,"September 12, 2024 "
608,half-true,Jared Moskowitz,“El Proyecto 2025 quiere deshacerse de la NOAA” y del Servicio Nacional de Meteorología.,una audiencia en la Cámara de Representantes,"September 19, 2024 "
609,half-true,Jared Moskowitz,“Project 2025 wants to get rid of NOAA” and the National Weather Service.,a House hearing,"September 19, 2024 "
610,half-true,Threads posts,"Florida ""put Tom Walz instead of Tim Walz"" on its ballots.",a Threads post,"September 22, 2024 "
611,half-true,Tim Walz,"“Donald Trump added more to the national debt than any other president, ever.”",,"September 21, 2024 "
612,half-true,Social Media,“The Montana Secretary of State left Kamala Harris off the ballot.”,,"September 22, 2024 "
613,half-true,Kamala Harris,Former President Donald Trump “started out with $400 million on a silver platter and then filed for bankruptcy six times.”,a rally ,"September 12, 2024 "
614,half-true,Sherrod Brown,"Of Bernie Moreno, “Now, he’s arguing for a national abortion ban, no exceptions.”",a TV interview,"September 4, 2024 "
615,half-true,Elissa Slotkin,Mike Rogers supported “laws that could eliminate IVF and birth control.”,a TV ad,"September 11, 2024 "
616,half-true,Kamala Harris,Project 2025 would defund K-12 schools.,an ad,"August 28, 2024 "
617,half-true,Kamala Harris,"El expresidente Donald Trump “tiene la intención de promulgar lo que, en efecto, es un impuesto nacional sobre las ventas…que elevaría los precios para las familias de clase media a casi $4,000 al año”.",su discurso de aceptación en la Convención Nacional Demócrata,"August 22, 2024 "
618,half-true,Kamala Harris,"Former President Donald Trump ""intends to enact what, in effect, is a national sales tax ... that would raise prices on middle-class families by almost $4,000 a year.""",her acceptance speech at the Democratic National Convention,"August 22, 2024 "
619,half-true,Rick Scott,"“This month alone, more than 16,000 non-citizens have been removed from the voter rolls in 3 states.”",a post on X,"August 28, 2024 "
620,half-true,Bryan Steil,"Says U.S. Sen. Tammy Baldwin ""believes taxpayer dollars should be used for abortion.""",TV interview,"April 28, 2024 "
621,half-true,Jacky Rosen,Sam Brown “said abortion should be banned without any exceptions for rape or incest.”,a campaign ad,"July 17, 2024 "
622,half-true,Pete Buttigieg,JD Vance holds “anti-marriage-equality views.”,CNN's State of the Union,"August 11, 2024 "
623,half-true,Tim Walz,"""El crimen violento aumentó bajo Donald Trump"".",un mit,"August 6, 2024 "
624,half-true,Ron DeSantis,"“In 2021, Minnesotans were roughly five times more likely to move to Florida than vice versa” because they were “fleeing” the state under Democratic Gov. Tim Walz.",an X post,"August 6, 2024 "
625,half-true,Tim Walz,“Violent crime was up under Donald Trump.”,a rally ,"August 6, 2024 "
626,half-true,Joe Biden,"""The Trump administration handed out taxpayer dollars to a foreign company. Hundreds of homes and farms were bulldozed, and over $500 million in taxpayer dollars were wasted preparing for Foxconn.""",News release,"May 16, 2024 "
627,half-true,Tom Cotton,"“The weapons that Ukraine used in the early days of this war to fend off the Russian invasion are the weapons that Donald Trump sent, that Barack Obama and Joe Biden had refused to send.”",an interview on CNN's State of the Union,"June 16, 2024 "
628,half-true,Pennsylvania Values PAC,Former President Donald Trump is “against mail in voting.”,an ad,"June 21, 2024 "
629,half-true,Donald Trump,The Trump administration “achieved the lowest African American unemployment rate and the lowest African American poverty rate ever recorded.”,remarks ,"June 15, 2024 "
630,half-true,Democratic Legislative Campaign Committee,Republican legislatures “have targeted birth control” and in Wisconsin “refused to schedule a vote on a bill that would have codified a right to birth control.”,News release,"June 5, 2024 "
631,half-true,Joe Biden,"""The last administration oversaw the largest increase in murders ever recorded.""",a campaign email,"May 24, 2024 "
632,half-true,Joe Biden,“Wage increases have exceeded” the cost of inflation.,an interview with Time magazine,"June 4, 2024 "
633,half-true,Joe Biden,Donald Trump wants to terminate the Affordable Care Act.,a speech,"May 19, 2024 "
634,half-true,Tom Tiffany,“The science is clear — the gray wolf has met and exceeded recovery goals.”,"X, formerly Twitter","April 30, 2024 "
635,half-true,Jared Polis,"Tariffs are a “direct, regressive tax on Americans” and President Joe Biden’s new tariffs on Chinese goods will “hit every family.”",an X post,"May 15, 2024 "
636,half-true,Donald Trump,"Robert F. Kennedy Jr. called voter ID “racist,” calls NRA a “terrorist organization” and supports affirmative action.",an X post,"May 2, 2024 "
637,half-true,Nancy Pelosi,Former President Donald Trump “has the worst record of job loss of any president.”,an interview with MSNBC,"April 29, 2024 "
638,half-true,Robert F. Kennedy Jr.,"""The much-trumpeted job growth in the last year was ENTIRELY part-time jobs.""",a post on X,"March 31, 2024 "
639,half-true,Facebook posts,"Dollar Tree, Walgreens, Macy’s, Foot Locker, Gap, Burger King, Regal Cinemas and Kroger have had mass store closures during Joe Biden’s presidency.",a Facebook post,"April 19, 2024 "
640,half-true,Marco Rubio,"“It's very misleading when (President Biden) says (inflation) used to be at 9%. This is compounding. It’s not like it went down from 9% to 3%. This is building month after month. The better way to think about it is that it’s 18%, 19% over the last three years.""",an interview with Fox News,"April 11, 2024 "
641,half-true,Joe Biden,"Insulin for Medicare beneficiaries ""was costing 400 bucks a month on average. It now costs $35 a month.""",a speech,"March 19, 2024 "
642,half-true,Jeanette Nuñez,"Miami’s immigration courts have the “largest backlog of any court in this country with 10% of the overall immigration cases,” and “more than 90%” of people lose their asylum claims.",a news conference,"March 15, 2024 "
643,half-true,Facebook posts,"Emergency officials warn to “stock up on food, water, and fuel ahead of the eclipse.”",Facebook reel,"March 14, 2024 "
644,half-true,Eric Hovde,"“Since the end of the 2020 fiscal year, President Biden and Senator Baldwin have added over $7.3 trillion of debt, more than the first 228 years of our nation’s history combined.”",Campaign video,"March 4, 2024 "
645,half-true,Joe Biden,"The Trump administration ""added more to the national debt than any presidential term in American history.""",his State of the Union address,"March 7, 2024 "
646,half-true,Joe Biden,“We cut the federal deficit by $160 billion because Medicare will no longer have to pay those exorbitant prices to Big Pharma.”,his State of the Union address,"March 7, 2024 "
647,half-true,Joe Biden,"""We’ve already cut the federal deficit by over $1 trillion.""",a State of the Union address,"March 7, 2024 "
648,half-true,Jonathan Martin,“This is the era where people are given smartphones when they cross the border and enter our country.”,a Senate session,"March 4, 2024 "
649,half-true,Deborah Ross,“North Carolina has the longest voting period in the country … and we have the most ways of voting.”,a press conference,"January 25, 2024 "
650,half-true,George Borrello,"“NYC will give $1,000 taxpayer-funded credit cards to migrants.”",a post on X,"February 5, 2024 "
651,half-true,Bryan Steil,"“Bidenomics is costing the typical American household over $11,400 more a year to buy the basics.”","X, formerly Twitter","February 1, 2024 "
652,half-true,Chris Murphy,The Bipartisan Safer Communities Act led to “a 12% reduction in urban homicides in this country.”,an interview,"February 11, 2024 "
653,half-true,Joe Biden,“Inflation has been at the pre-pandemic level of 2% over the last half year.”,a post on X,"February 4, 2024 "
654,half-true,Chris Larson,"In the past year, Michigan, Minnesota and Illinois passed ""highly popular” policies such as paid family leave, one of several issues that have been stymied in Wisconsin by Republicans.","X, formerly Twitter","December 12, 2023 "
655,half-true,Joe Biden,"“Tens of thousands of auto jobs were lost nationwide during Trump's presidency,” but during Biden’s presidency, “we've created more than 250,000 auto jobs.”",a speech to the United Auto Workers,"January 24, 2024 "
656,half-true,Ron DeSantis,U.S. tax dollars “have gone to promote transgenderism in Bangladesh.”,"a Concord, New Hampshire Town Hall","December 15, 2023 "
657,half-true,Joe Biden,“The racial wealth gap is the smallest it’s been in 20 years.”,a speech,"January 8, 2024 "
658,half-true,Donald Trump,"Nikki Haley “says the retirement age at 65 is way too low, it must be much higher.”",a speech,"January 6, 2024 "
659,half-true,Ron DeSantis,"In Florida, “income growth is top of the chart.”",a CNN town hall,"January 4, 2024 "
660,half-true,Chris Christie,"Under the Trump administration's trade deal, “China's only fulfilled one-third of the promises of agricultural products that they were supposed to buy from our farmers.”",a town hall ,"December 13, 2023 "
661,half-true,Ron DeSantis,"Discussing gender-affirming surgical care for minors, said that Sweden “shut it down.”",the fourth Republican presidential primary debate,"December 6, 2023 "
662,half-true,Ron Tusler,"Wisconsin Republicans are backing “a nonpartisan redistricting plan based off the Iowa Model.  ... Republicans, Democrats, and the Governor pushed this plan last time redistricting happened in 2020.”","X, formerly Twitter","September 12, 2023 "
663,half-true,Nikki Haley,"China “had the largest naval fleet in the world. They had 370 ships. They'll have 400 ships in two years. We won't even have 350 ships in two decades.""",an event ,"November 28, 2023 "
664,half-true,Gavin Newsom,"In Florida, “any woman who has an abortion after six weeks — and any doctor who gives her care — will be guilty of a felony.”",a statement on X,"November 19, 2023 "
665,half-true,Markwayne Mullin,“Abraham Lincoln challenged a guy to a sword fight.”,an interview with CNN,"November 15, 2023 "
666,half-true,Vivek Ramaswamy,"An exemption in a new Florida law “allowed Chinese nationals to buy land within a 20-mile radius of a military base, lobbied for by one of (Gov. Ron DeSantis’) donors.”",Republican primary debate,"November 8, 2023 "
667,half-true,Joe Biden,Republicans in Congress are “trying to wipe out federal funding to end the HIV epidemic.”,remarks at the 2023 Human Rights Campaign National Dinner,"October 14, 2023 "
668,half-true,Chris Rose,"Gasoline prices are ""up 63%"" under President Joe Biden.",a post on X,"October 23, 2023 "
669,half-true,Ron DeSantis,“The Republicans and Trump funded $400 million in March of 2020 for mail ballots.”,a town hall ,"October 24, 2023 "
670,half-true,Shannon Watts,“It is harder to buy Sudafed than an AR-15 in Maine.”,a post on X,"October 25, 2023 "
671,half-true,Mike Johnson,“Prices have increased over 17% in the last two years.”,his acceptance speech as speaker,"October 25, 2023 "
672,half-true,Donald Trump,"“When I came into office, Iran had $70 billion in foreign exchange reserves. … By the time I left, they had nothing. They were broke.”",remarks at a rally ,"October 23, 2023 "
673,half-true,Opportunity Wisconsin,"""The repeal of Roe v. Wade has exacerbated the state’s OB-GYN shortage as residency programs report a decline in enrollment due to the inability of residents to receive training in-state.""",News release,"September 14, 2023 "
674,half-true,Vivek Ramaswamy,"""Russia has hypersonic missile capabilities ahead of that of the U.S.”",a press gaggle ,"October 18, 2023 "
675,half-true,Jim Justice,“2022 was the biggest tourism year ever in West Virginia”,a post on X,"September 12, 2023 "
676,half-true,Paula Congelio,West Virginia University has “increased the amount of unfunded institutional aid provided to students and expects this amount to exceed $134 million in 2024.”,a news release,"June 23, 2023 "
677,half-true,Carol Miller,“Gas prices have skyrocketed since Joe Biden took office and continue to do so everyday.”,a post on X,"August 30, 2023 "
678,half-true,E. Gordon Gee,Foreign languages are “not a high priority” nationally,an interview with the Daily Athenaeum,"August 18, 2023 "
679,half-true,Mike Gallagher,"China sends “fentanyl into America killing 80,000 Americans a year.”",Interview,"June 27, 2023 "
680,half-true,Matt Gaetz,"""Since the mid-'90s, this country has been governed by revolving continuing resolution and omnibus spending bill(s). … That is the reason we're $33 trillion in debt.""","an interview on ABC's ""This Week""","October 1, 2023 "
681,half-true,Gavin Newsom,“We are more energy independent today” under President Joe Biden.,an interview with Sean Hannity,"September 27, 2023 "
682,half-true,Nikki Haley,“Ron DeSantis is against fracking. He is against drilling.”,a GOP presidential primary debate ,"September 27, 2023 "
683,half-true,Instagram posts,"U.S. aid to Ukraine will continue during a government shutdown, but programs for food stamps, transportation, education, justice, environmental protection and homelessness will not.",an Instagram post,"September 22, 2023 "
684,half-true,Randi Weingarten,"""Texas teacher fired for reading Diary of Anne Frank to class.”",an X post,"September 20, 2023 "
685,half-true,Joe Biden,“I taught at the University of Pennsylvania for four years.”,a speech,"September 14, 2023 "
686,half-true,Kevin McCarthy,“We know the bank records show that nearly $20 million in payments were directed to the Biden family members and associates through various shell companies.”,a news conference,"September 12, 2023 "
687,half-true,Thom Tillis,"A Democrat-sponsored bill proposes a “1,000% gun tax on most firearms.”",a campaign email,"August 14, 2023 "
